route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
3,2025_08_11-DX-MVS-Weekday-003,1771697,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771885,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771698,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771886,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771699,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771887,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771700,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771888,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771701,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771889,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771702,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771890,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771703,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771891,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771704,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771892,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771705,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771893,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771706,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771894,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771707,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771895,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771708,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771896,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771709,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771897,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771710,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771898,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771711,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771899,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771712,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771900,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771713,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771901,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771714,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771902,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771715,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771903,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771716,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771904,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771717,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771905,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771718,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771906,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771719,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771907,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771720,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771908,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771721,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771909,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771722,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771910,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771723,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771911,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771724,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771912,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771725,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771913,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771726,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771914,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771915,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771727,"OAK Airport / Richmond",0,,003C_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1772017,"San Francisco International Airport",1,,001F_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771792,"San Francisco / Antioch",0,,002C_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1772018,"San Francisco International Airport",1,,001F_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771791,"SF / Pittsburg/Bay Point",0,,002D_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1771974,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771789,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1771916,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771790,"San Francisco / Antioch",0,,002C_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1771975,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771788,"SFO / SF / Antioch",0,,002A_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1771917,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771787,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1771976,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771783,"SFO / SF / Antioch",0,,002A_shp,,0,0
1,2025_08_11-DX-MVS-Weekday-003,1771918,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_08_11-DX-MVS-Weekday-003,1771785,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
